date,topix,toyota,fast_retailing,hitachi,kddi
2014/03,1202.89,20088033388392,3970867312360,3683099100894,5360254473600
2014/04,1162.44,19019154165872,3369960051120,3513927882349,4881275911200
2014/05,1201.41,19863913551412,3563014105040,3306088956708,5429320670800
2014/06,1262.56,20795096741328,3535434954480,3586429833154,5542338084400
2014/07,1289.42,20976250608404,3649464134680,3908821841067,5379090709200
2014/08,1277.97,20261889132576,3452697502800,3801518953876,5380884636400
2014/09,1326.29,22090517790796,3893433543480,4048025586613,5913681014800
2014/10,1333.64,22210147703016,4281663124440,4152428395772,6480562010000
2014/11,1410.34,24999233656488,4582912307480,4429869194186,6820511214400
2014/12,1407.51,25833225044536,4671483810240,4353500472671,6850111013200
2015/01,1415.07,26130590826340,4669362337120,4337066697155,7501306586800
2015/02,1523.85,27559313777996,4914392482480,3953773050566,7435828244000
2015/03,1543.11,28653072975436,4931894635720,3978907060178,7320568421400
2015/04,1592.79,28567623038136,5016753560520,3960056552969,7642129872000
2015/05,1673.65,29408450421168,5441578552800,4108443878950,7564094038800
2015/06,1630.4,28037833426876,5893452327360,3899638260632,7948891423200
2015/07,1659.52,28208733301476,6509740268720,3888037948503,8477651465400
2015/08,1537.05,24582237962464,5225718662840,3295455337257,8121108434400
2015/09,1411.16,23826860516732,5143511579440,2904428149248,7176605763600
2015/10,1558.2,25529023267748,4707548853280,3397441414722,7927364296800
2015/11,1580.25,25559046796244,5280346595680,3511994496994,8228744066400
2015/12,1547.3,24994925220096,4522980691840,3342339932111,8487069583200
2016/01,1432.07,24033581942400,4076410600080,2834342930137,8094199526400
2016/02,1297.85,19684171210324,3324348379040,2309912152647,7744383722400
2016/03,1347.2,19867761072384,3820773089120,2545301819594,8088817744800
2016/04,1340.55,18873037819768,3095759650360,2492133722337,8527432945200
2016/05,1379.8,19303639496236,3170011209560,2474733254144,8482539909909
2016/06,1245.82,16863563329584,2895810808800,2048905129749,8157598622041
2016/07,1322.74,19674157217848,3546042320080,2303145303906,8241454438265
2016/08,1329.54,20822428355096,3854716659040,2397397839952,7955820564252
2016/09,1322.78,19290287506268,3425118352240,2264960943148,8162839610555
2016/10,1393.02,20291686753868,3761371841760,2702872726010,8364617668344
2016/11,1469.43,21695670324308,4197334567920,2945029241699,7858862276743
2016/12,1518.61,22442896749976,4437061030480,3054748860584,7755352753592
2017/01,1521.67,21483575487328,3774100680480,3130150889421,7940097598710
2017/02,1535.32,20768979036580,3764554051440,2990947143876,7701632621323
2017/03,1512.6,19715030846664,3704092067520,2912161690668,7657084218954
2017/04,1531.8,19692189864220,3856838132160,2973063329344,7744870776564
2017/05,1568.37,19356101122544,3935332637600,3232136966887,7932396667650
2017/06,1611.9,19228844220356,3969276207520,3332189658998,7696960236875
2017/07,1618.61,20341526365128,3513159486720,3671498788765,7554663493000
2017/08,1617.41,20175113493036,3338137954320,3658931783959,7676262528675
2017/09,1674.75,21894713171320,3520584642640,3832453119552,7676262528675
2017/10,1765.96,22808352469080,3989430202160,4335616658139,7823733699600
2017/11,1792.08,22984554333648,4615264772560,4032075157435,8317891482875
2017/12,1817.56,23536000909796,4763767890960,4243297507447,7255840330863
2018/01,1836.71,24407221240160,5164726310640,4187712678497,7122598834325
2018/02,1768.24,23607786854620,4515555535920,3953773050566,6818601245138
2018/03,1716.3,22269957882900,4586624885440,3725633578700,7028165540663
2018/04,1777.23,23431584990052,5113810955760,3874504251019,7598646122925
2018/05,1747.45,22583205642132,5062895600880,3850336934084,7458019092748
2018/06,1730.89,23395692017640,5400209826960,3777834983279,7674505472795
